test_name,metric_name,pearson_with_iae,spearman_with_iae
noisy,settling_time_approx_2pct,-0.6764120531569251,-0.9954887218045112
noisy,shadow_horizon_eps_0_02,-0.6323083674553471,-0.9443193041944553
noisy,shadow_mass_l1,-0.6375961815731791,-0.9954887218045112
noisy,shadow_mass_l2,-0.6764120535743459,-0.9954887218045112
noisy,slow_band_deficit_0_05,0.9994754363457321,0.9954887218045112
noisy,stability_margin_d,0.9713192461967896,0.9954887218045112
noisy,step_overshoot,-0.8253056155263395,-0.9954887218045112
noisy,step_settling_time_2pct,-0.6255269209141906,-0.918796992481203
ramp,settling_time_approx_2pct,-0.819418996241998,-1.0
ramp,shadow_horizon_eps_0_02,-0.7854063906444458,-0.9488339781587316
ramp,shadow_mass_l1,-0.7894551744923651,-1.0
ramp,shadow_mass_l2,-0.8194189965706764,-1.0
ramp,slow_band_deficit_0_05,0.9759110319995111,1.0
ramp,stability_margin_d,0.9999939917249266,1.0
ramp,step_overshoot,-0.9360736606675962,-1.0
ramp,step_settling_time_2pct,-0.7798611047988923,-0.9233082706766916
ramp_sine,settling_time_approx_2pct,-0.8188083918532585,-1.0
ramp_sine,shadow_horizon_eps_0_02,-0.7847494369492933,-0.9488339781587316
ramp_sine,shadow_mass_l1,-0.7887987740359922,-1.0
ramp_sine,shadow_mass_l2,-0.8188083921824374,-1.0
ramp_sine,slow_band_deficit_0_05,0.9761280952620526,1.0
ramp_sine,stability_margin_d,0.9999929193954871,1.0
ramp_sine,step_overshoot,-0.9357050361645844,-1.0
ramp_sine,step_settling_time_2pct,-0.7791968933681682,-0.9233082706766916
slow_sine,settling_time_approx_2pct,-0.8180085048291069,-1.0
slow_sine,shadow_horizon_eps_0_02,-0.7838874572704672,-0.9488339781587316
slow_sine,shadow_mass_l1,-0.7879384274710742,-1.0
slow_sine,shadow_mass_l2,-0.8180085051589397,-1.0
slow_sine,slow_band_deficit_0_05,0.9764176440600961,1.0
slow_sine,stability_margin_d,0.9999898878080513,1.0
slow_sine,step_overshoot,-0.9352117452278755,-1.0
slow_sine,step_settling_time_2pct,-0.7783254545177481,-0.9233082706766916
